title,summary,link,tags,published,tipo da lei
Decreto Legislativo 1147/2024,Concede o título de cidadã do Recife à Srª Elizabete de Sousa Godinho.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=319,Decreto Legislativo,2024-04-29,ConcessaoTitulo
Decreto Legislativo 1146/2024,Concede a Medalha de Mérito Olegária Mariano a  Danielle Gondim Portela.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=318,Decreto Legislativo,2024-04-29,ConcessaoMedalha
Decreto Legislativo 1145/2024,Concede o Título de Cidadã do Recife à Dayanna Louise Santos.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=300,Decreto Legislativo,2024-04-29,ConcessaoTitulo
Decreto Legislativo 1144/2024,Concede o Título de Cidadão do Recife ao Sr. Ryu Uchihara.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=832,Decreto Legislativo,2024-04-22,ConcessaoTitulo
Decreto Legislativo 1143/2024,Concede a Medalha de Mérito José Mariano ao Advogado Almir Reis.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=311,Decreto Legislativo,2024-04-22,ConcessaoMedalha
Decreto Legislativo 1142/2024,Concede o Título de Cidadão do Recife ao Sr. Ygor Gomes Valença,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=310,Decreto Legislativo,2024-04-22,ConcessaoTitulo
Decreto Legislativo 1141/2024,Concede o Título de Cidadão do Recife ao empresário Victor Bretas Alecrim.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=315,Decreto Legislativo,2024-04-15,ConcessaoTitulo
Decreto Legislativo 1140/2024,Concede o Título de Cidadão do Recife ao empresário mineiro DANIEL LUIZ GUERRA COSTA,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=314,Decreto Legislativo,2024-04-15,ConcessaoTitulo
Decreto Legislativo 1139/2024,Concede o Título de Cidadã do Recife à Sra. Jullimária Dutra.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=306,Decreto Legislativo,2024-03-18,ConcessaoTitulo
Decreto Legislativo 1138/2024,Concede o Título de Cidadão do Recife ao Arcebispo Dom Paulo Jackson Nóbrega de Souza por relevantes serviços prestados à sociedade recifense.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=521,Decreto Legislativo,2024-03-18,ConcessaoTitulo
Decreto Legislativo 1137/2024,Concede a Medalha de Mérito José Mariano ao Sr. Manoel Nascimento Costa.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=519,Decreto Legislativo,2024-03-18,ConcessaoMedalha
Decreto Legislativo 1136/2024,Concede o Título de Cidadão do Recife ao Sr. Álvaro Porto de Barros.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=500,Decreto Legislativo,2024-03-18,ConcessaoTitulo
Decreto Legislativo 1135/2024,Concede o Título de Cidadão do Recife ao Dr. Álvaro Dantas de Almeida Júnior.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=496,Decreto Legislativo,2024-03-18,ConcessaoTitulo
Decreto Legislativo 1134/2024,Concede a Medalha de Mérito José Mariano ao Artista Plástico Leopoldo Nóbrega.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=495,Decreto Legislativo,2024-03-18,ConcessaoMedalha
Decreto Legislativo 1133/2024,Concede o Título de Cidadão do Recife ao Sr. Wanderson Sobral Florêncio.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=492,Decreto Legislativo,2024-03-18,ConcessaoTitulo
