inicio_titulo,autor,summary,link,published
Aditamento a Parecer 10/2022,Ana Lúcia do Rego Ferreira,"DA COMISSÃO DE EDUCAÇÃO, CULTURA, TURISMO E
ESPORTES sobre a Emenda Modificativa Nº 01 Projeto de Lei
Ordinária nº 137/2022, que DISPÕE SOBRE A CRIAÇÃO DE
“COMISSÕES DE CONSCIENTIZAÇÃO, PREVENÇÃO E
ENFRENTAMENTO DA VIOLÊNCIA E PROMOÇÃO DOS
DIREITOS DAS CRIANÇAS E DOS ADOLESCENTES” NAS
ESCOLAS PÚBLICAS E PRIVADAS NO MUNICÍPIO DO
RECIFE. Pela Aprovação.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=131236,24/10/2022
Aditamento a Parecer 9/2022,Ana Lúcia do Rego Ferreira,"DA COMISSÃO DE EDUCAÇÃO, CULTURA, TURISMO E ESPORTES sobre a reanálise do Projeto de Lei do Executivo nº 16/2022, que “Institui o Programa Primeiras Letras” PELA APROVAÇÃO COM EMENDAS.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=127956,30/06/2022
Aditamento a Parecer 8/2022,Felipe Francismar,"Da Comissão de Legislação e Justiça sobre o PLO 381/2021, que dispõe sobre a proibição de homenagens a violadores de direitos humanos no Município do Recife; pela APROVAÇÃO do SUBSTITUTIVO 01/2022.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=127424,20/06/2022
Aditamento a Parecer 7/2022,None,Aditamento ao Parecer da CFO nº 55/2022 PELA APROVAÇÃO COM EMENDA MODIFICATIVA.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=126934,11/06/2022
Aditamento a Parecer 6/2022,Felipe Francismar,"Da Comissão de Legislação e Justiça sobre o PLO 282/2021, que INSTITUI NO CALENDÁRIO OFICIAL DE EVENTOS DO MUNICÍPIO DO RECIFE O “MAIO ROXO”, MÊS DE CONSCIENTIZAÇÃO EM RELAÇÃO ÀS DOENÇAS INFLAMATÓRIAS INTESTINAIS (DII); pela APROVAÇÃO COM EMENDA.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=126604,03/06/2022
Aditamento a Parecer 5/2022,Felipe Francismar,"Da Comissão de legislação e Justiça sobre o PLO 169/2021, que DENOMINA “PARQUE DA RESISTÊNCIA LEONARDO CISNEIROS” O PARQUE QUE SERÁ CONSTRUÍDO NO CAIS JOSÉ ESTELITA, MUNICÍPIO DO RECIFE; pela APROVAÇÃO do Aditamento ao Parecer.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=123721,07/04/2022
Aditamento a Parecer 4/2022,Felipe Francismar,"Da Comissão de Legislação e Justiça sobre o PLO 316/2021, que DISPÕE SOBRE AS GARANTIAS CONSTITUCIONAIS NO AMBIENTE ESCOLAR DAS REDES DE ENSINO PÚBLICA E PRIVADA NO MUNICÍPIO DO RECIFE; pela REJEIÇÃO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=122909,25/03/2022
Aditamento a Parecer 3/2022,Felipe Francismar,"Da Comissão de Legislação e Justiça sobre o PLO 153/2021, que DISPÕE SOBRE A REGULAMENTAÇÃO DA ATIVIDADE PROFISSIONAL DE DESPACHANTE DOCUMENTALISTA NO MUNICÍPIO; pela REJEIÇÃO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=122907,25/03/2022
Aditamento a Parecer 1/2022,Felipe Francismar,"Pela APROVAÇÃO, com emendas modificativas e emenda aditiva da Relatoria ao PLE 07/2022.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=122572,21/03/2022
Aditamento a Parecer 7/2021,Felipe Francismar,"Da COMISSÃO DE LEGISLAÇÃO E JUSTIÇA sobre a
reanálise do Projeto de Lei Ordinário (PLO) n.º
63/2021, que autoriza a edificação de um monumento
na praça Otávio de Freitas em homenagem aos
profissionais de saúde mortos pela COVID-19 e os que
trabalharam em meio à pandemia e dá outras
providências” Pela Aprovação do projeto e
Aprovação da Emenda Modificativa nº 01/2021 ao
PLO n.º 63/2021, tornando sem efeito o aditamento
nº 05/2021.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=115042,19/10/2021
