titulo,link,ementa,materia_originaria,link_materia,autoria,situacao,titulo_normalizado
"Lei Ordinária nº 18174, de 16/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1497,DENOMINA A AVENIDA SANTA CRUZ FUTEBOL CLUBE A AVENIDA BEBERIBE.,PLO 415/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=40261,Romerinho Jatobá,Em vigor,Lei Ordinária 18174/2015
"Lei Ordinária nº 18173, de 21/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1496,INSTITUI O FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA.,PLE 14/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=53522,Prefeito do Recife,Em vigor,Lei Ordinária 18173/2015
"Lei Ordinária nº 18172, de 19/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1495,"ESTABELECE A PROIBIÇÃO DO USO DE FOGOS DE ARTIFÍCIO E A REALIZAÇÃO DE SHOWS PIROTÉCNICOS DENTRO DE BARES, BOATES, TEATROS, CINEMAS, AUDITÓRIOS, CLUBES E OUTROS RECINTOS FECHADOS DESTINADOS A EVENTOS, NO ÂMBITO DA CIDADE DO RECIFE.",PLO 259/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=36687,André Régis,Em vigor,Lei Ordinária 18172/2015
"Lei Ordinária nº 18170, de 13/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1494,"DISPÕE SOBRE A FIXAÇÃO DE CARTAZ NAS DROGARIAS, FARMÁCIAS DE MANIPULAÇÃO E ESTABELECIMENTOS SIMILARES DO MUNICÍPIO DO RECIFE, SOBRE OS RISCOS DO USO INDISCRIMINADO DE ANFETAMINAS E DÁ OUTRAS PROVIDÊNCIAS.",PLO 187/2014,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=46728,Michele Collins,Em vigor,Lei Ordinária 18170/2015
"Lei Ordinária nº 18169, de 13/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1493,"TORNA OBRIGATÓRIA, EM ESTABELECIMENTOS DENOMINADOS “PET’ SHOP” E/OU CLÍNICAS VETERINÁRIAS, A AFIXAÇÃO DE CARTAZ CONTENDO O NOME, CREDENCIAMENTO, TELEFONE DO PROFISSIONAL VETERINÁRIO E DO(A) PROPRIETÁRIO(A) DO ESTABELECIMENTO.",PLO 7/2014,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=40724,Estefano Menudo,Em vigor,Lei Ordinária 18169/2015
"Lei Ordinária nº 18168, de 09/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1492,"ALTERA DISPOSITIVOS DA LEI N.º 17.244, DE 27 DE JULHO DE 2006, MODIFICADA PELA LEI Nº 17.762, DE 28 DE DEZEMBRO DE 2011. ""REGIME DE URGÊNCIA""",PLE 20/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=55054,Prefeito do Recife,Em vigor,Lei Ordinária 18168/2015
"Lei Ordinária nº 18167, de 07/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1491,"INSTITUI O DIA 9 (NOVE) DE MAIO COMO DIA MUNICIPAL DE BIKE AO TRABALHO, NO ÂMBITO DO MUNICÍPIO DO RECIFE E DÁ OUTRAS PROVIDÊNCIAS.",PLO 113/2014,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=44490,Isabella de Roldão,Em vigor,Lei Ordinária 18167/2015
"Lei Ordinária nº 18165, de 28/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1490,"DISPÕE SOBRE A OBRIGATORIEDADE DE COMUNICAR AOS ÓRGÃOS DE PROTEÇÃO DA CRIANÇA E DO ADOLESCENTE OS CASOS DE USO E ABUSO DE ÁLCOOL E OUTRAS DROGAS, E DÁ OUTRAS PROVIDÊNCIAS.",PLO 378/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=39353,Michele Collins,Em vigor,Lei Ordinária 18165/2015
"Lei Ordinária nº 18163, de 28/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1489,DISPÕE SOBRE ALIMENTAÇÃO DIFERENCIADA A HIPERTENSOS NA MERENDA ESCOLAR NAS INSTITUIÇÕES DA REDE MUNICIPAL DE ENSINO.,PLO 238/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=36159,Estefano Menudo,Em vigor,Lei Ordinária 18163/2015
"Lei Ordinária nº 18162, de 25/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1488,"INSTITUI A SEMANA DO ALUNO SAUDÁVEL NAS ESCOLAS E CRECHES PÚBLICAS DA REDE MUNICIPAL DE ENSINO DA CIDADE DO RECIFE, E DÁ OUTRAS PROVIDÊNCIAS.",PLO 230/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=36088,André Régis,Em vigor,Lei Ordinária 18162/2015
